Z,N,Coherence,HalfLife_sec,ElementName
142.0,318.0,0.04986062547211475,0.0027536566753330032,Unquadbiium
140.0,320.0,0.04955324310481946,0.0027495356905477184,Unquadnilium
182.0,278.0,0.04948131297113831,0.002748572619653168,Unoctbiium
138.0,322.0,0.04925153899653969,0.00274549941553162,Untrioctium
136.0,324.0,0.048955362719041794,0.002741545342168791,Untrihexium
134.0,326.0,0.04866456897198817,0.0027376710583831183,Untriquadium
132.0,328.0,0.04837901737077222,0.002733874243651567,Untribiium
130.0,330.0,0.04809857224462516,0.0027301526647639783,Untrinilium
128.0,332.0,0.04782310244442737,0.002726504171813824,Unbioctium
126.0,334.0,0.04755248115969156,0.0027229266944055353,Unbihexium
144.0,316.0,0.0453991695374699,0.0026946992430926047,Unquadquadium
180.0,280.0,0.0444120519002459,0.0026818993661028192,Unoctnilium
124.0,336.0,0.042786672152534705,0.002661012475040654,Unbiquadium
146.0,314.0,0.04134021586949952,0.0026426205851483885,Unquadhexium
178.0,282.0,0.03986669767675167,0.0026240716846058568,Unseptoctium
122.0,338.0,0.03850105727679157,0.0026070472913622277,Unbibiium
148.0,312.0,0.03764721747851996,0.0025964836563060712,Unquadoctium
176.0,284.0,0.03579055517399276,0.002573724559166062,Unsepthexium
120.0,340.0,0.0346469582641785,0.002559848801461218,Unbinilium
150.0,310.0,0.03428696312102452,0.002555503095283044,Unpentnilium
174.0,286.0,0.0321347061587805,0.0025297421456181007,Unseptquadium
152.0,308.0,0.031229271524691394,0.0025190163949111535,Unpentbiium
118.0,342.0,0.031180665767371923,0.0025184424661442136,Element 118
172.0,288.0,0.028855390919656693,0.002491204603889153,Unseptbiium
170.0,290.0,0.028638799184980347,0.002488689129858568,Unseptnilium
154.0,306.0,0.028446713744157987,0.0024864613317140357,Unpentquadium
168.0,292.0,0.028426767022896437,0.0024862301553417896,Unhexoctium
166.0,294.0,0.028219157627846648,0.002483825864761158,Unhexhexium
116.0,344.0,0.02806292812099114,0.0024820188060217024,Element 116
164.0,296.0,0.02801583945314034,0.002481474517612091,Unhexquadium
162.0,298.0,0.027816685966404162,0.00247917444469069,Unhexbiium
160.0,300.0,0.027621575418303502,0.002476924044543529,Unhexnilium
158.0,302.0,0.027430390623715595,0.002474721780124743,Unpentoctium
156.0,304.0,0.027243018754590967,0.0024725661756465575,Unpenthexium
114.0,346.0,0.02525849317986026,0.0024499006813931867,Element 114
112.0,348.0,0.02273569766691692,0.002421517983342618,Element 112
110.0,350.0,0.020466099054063023,0.0023963878667189985,Element 110
108.0,352.0,0.018424145526617895,0.00237409917073995,Element 108
106.0,354.0,0.01658688005278015,0.002354300035010578,Element 106
104.0,356.0,0.014933674999798682,0.002336687976335853,Element 104
102.0,358.0,0.014860121659280339,0.002335908828405215,Element 102
